CRIMAC/KORONA,SONAR-netCDF4,CRIMAC-Raw-To-Svf-TSf
frequency,frequency,f_n
ping_time,ping_time,
range,range,r_n
sector,beam,

channel_id,beam,
raw_file,,

longitude,longitude,
latitude,latitude,

distance,distance,

heave,vertical_offset,
heading,heading,
pitch,pitch,
roll,roll,

tranducer_draft,tx_transducer_depth,
pulse_length,transmit_duration_nominal,tau

sv
angle_alongship,echoangle_major,theta_n
angle_athwartship,echoangle_minor,phi_n

pulse_compressed_re,,y_pc_nu
pulse_compressed_im,,y_pc_nu

broadband_frequency,,f_m
broadband_sv,,Sv_m_n

sample_interval,sample_interval,sampleInterval
sound_speed,sound_speed_at_transducer,c
transceiver_impedance,transceiver_impedance,z_rx_e
transmit_frequency_start,transmit_frequency_start,f0
transmit_frequency_stop,transmit_frequency_stop,f1
transmit_power,transmit_power,p_tx_e

angle_sensitivity_alongship,echoangle_major_sensitivity,gamma_theta
angle_sensitivity_athwartship,echoangle_minor_sensitivity,gamma_phi

calibration_frequency
calibration_gain
calibration_equivalent_beam_angle
calibration_beamwidth_alongship
calibration_beamwidth_athwartship
calibration_angle_offset_alongship
calibration_angle_offset_athwartship

Environment,Environment,envr
depth,,depth
salinity,,salinity
temperature,,temperature
